name,description
open-source,QUESTIONS ABOUT LICENSING ARE OFF-TOPIC. You may ask questions about open source licensing on https://opensource.stackexchange.com. There are no good reasons to use this tag on Stack Overflow
haproxy,"HAproxy is a TCP/HTTP load balancer which provides cookie-based persistence, advanced traffic regulation with surge protection, automatic failover, run-time regex-based header control, Web-based reporting, advanced logging to help trouble-shooting buggy applications and/or networks, and a few other features. "
core-location,"This proprietary Apple framework for iOS and Mac OS X allows apps to obtain information on a device&#39;s current location (latitude, longitude, and on some devices, altitude), direction and speed. The framework also provides methods for monitoring regions and being notified as the devices enters and exits predetermined geographical regions."
streamwriter,"StreamWriter is designed for character output in a particular encoding, whereas classes derived from Stream are designed for byte input and output."
jtextfield,JTextField is a Java Swing component that allows the editing of a single line of text.
urlencode,"To “URL encode” or “percent encode” text means to encode it for use in a URL. Some characters are not valid when used as-is in URLs, and so much be URL-encoded (percent-encoded) when appearing in URLs."
jenkins-pipeline,Questions about the Jenkins “Pipeline” plugin suite (formerly “Workflow”). Not about pipelines in Jenkins in general (e.g. using downstream jobs).
ignite,"Apache Ignite™ is a memory-centric distributed database, caching, and processing platform for
transactional, analytical, and streaming workloads delivering in-memory speeds at petabyte scale. It provides high-performance, in-memory computing capabilities for large data sets."
azure-iot-hub,Azure IoT Hub is a fully managed Microsoft service that enables reliable and secure bi-directional communications between millions of IoT devices and a solution backend.
compiler-optimization,"Compiler optimization involves adapting a compiler to reduce run-time or object size or both.  This can be accomplished using compiler arguments (i.e. CFLAGS, LDFLAGS), compiler plugins (DEHYDRA for instance) or direct modifications to the compiler (such as modifying source code)."
haml,HAML is a markup language that’s used to cleanly and simply describe the HTML of any web document without the use of inline code. It can be used as a standalone HTML generation tool or as a template rendering engine in a web framework such as Ruby on Rails or Ramaze. HAML templates are pre-compiled into plain HTML templates which is consumed by a client&#39;s web browser to render information sent by the server as a HTML web page.
gruntjs,Grunt is a task-based command line build tool and task runner for JavaScript projects.
quantmod,"quantmod is a package for R designed to assist quantitative traders in the development, testing, and deployment of statistically based trading models. "
